Timestamp,Temperature (C),Humidity (%)
2026-06-20 17:02:42,32.0,53.0,9,9
2026-06-20 17:02:43,32.0,53.0,9,9
2026-06-20 17:02:45,32.0,53.0,8,9
2026-06-20 17:02:47,32.0,53.0,8,9
2026-06-20 17:02:49,32.0,53.0,8,9
2026-06-20 17:02:51,32.0,53.0,8,8
2026-06-20 17:02:53,32.0,53.0,8,8
2026-06-20 17:02:56,32.0,53.0,8,8
2026-06-20 17:02:58,32.0,53.0,8,8
2026-06-20 17:03:00,32.0,54.0,8,8
2026-06-20 17:03:02,32.0,54.0,8,8
2026-06-20 17:03:04,32.0,54.0,8,8
2026-06-20 17:03:06,32.0,53.0,8,8
2026-06-20 17:03:08,32.0,54.0,8,8
2026-06-20 17:03:10,32.0,54.0,8,8
2026-06-20 17:03:20,32.0,54.0,8,8
2026-06-20 17:04:09,32.0,54.0,8,9
2026-06-20 17:04:09,32.0,54.0,8,9
2026-06-20 17:04:10,32.0,54.0,8,8
2026-06-20 17:04:10,32.0,54.0,8,8
2026-06-20 17:04:10,32.0,54.0,8,9
2026-06-20 17:04:11,32.0,54.0,8,9
2026-06-20 17:04:11,32.0,54.0,8,9
2026-06-20 17:04:11,32.0,54.0,9,9
2026-06-20 17:04:11,32.0,54.0,8,9
2026-06-20 17:04:14,32.0,54.0,8,9
2026-06-20 17:04:14,32.0,54.0,8,9
2026-06-20 17:04:14,32.0,54.0,9,10
2026-06-20 17:04:15,32.0,54.0,9,10
2026-06-20 17:04:17,32.0,54.0,9,10
2026-06-20 17:04:20,32.0,54.0,9,10
2026-06-20 17:04:22,32.0,54.0,9,10
2026-06-20 17:04:24,32.0,54.0,9,10
2026-06-20 17:04:26,32.0,54.0,9,10
2026-06-20 17:04:28,32.0,54.0,9,10
2026-06-20 17:04:30,32.0,54.0,9,10
2026-06-20 17:04:32,32.0,54.0,9,10
2026-06-20 17:04:34,32.0,54.0,9,10
2026-06-20 17:04:37,32.0,54.0,9,10
2026-06-20 17:04:39,32.0,54.0,9,9
2026-06-20 17:04:41,32.0,54.0,9,9
