Thoi Gian,Nhiet Do (C),Do Am (%),PM2.5 (ug/m3),PM10 (ug/m3)
2026-06-20 18:44:58,34.0,61.0,32,38
2026-06-20 18:45:03,34.0,62.0,32,38
2026-06-20 18:45:08,34.0,62.0,32,37
2026-06-20 18:45:13,34.0,61.0,32,37
2026-06-20 18:45:18,34.0,61.0,32,37
2026-06-20 18:45:23,0.0,0.0,32,37
2026-06-20 18:45:28,34.0,62.0,32,37
2026-06-20 18:45:33,34.0,61.0,32,37
2026-06-20 18:45:38,34.0,61.0,32,37
2026-06-20 18:45:43,34.0,61.0,33,38
2026-06-20 18:45:48,34.0,62.0,32,37
2026-06-20 18:45:53,34.0,62.0,32,36
2026-06-20 18:45:58,34.0,62.0,31,36
2026-06-20 18:46:03,34.0,62.0,31,36
2026-06-20 18:46:08,34.0,62.0,31,36
2026-06-20 18:46:13,34.0,62.0,32,36
2026-06-20 18:46:18,34.0,62.0,31,35
2026-06-20 18:46:23,0.0,0.0,31,35
2026-06-20 18:46:28,34.0,62.0,31,36
2026-06-20 18:46:33,34.0,62.0,32,37
2026-06-20 18:46:38,34.0,62.0,32,37
2026-06-20 18:46:43,34.0,62.0,32,38
2026-06-20 18:46:48,34.0,62.0,33,38
2026-06-20 18:46:53,34.0,62.0,32,36
2026-06-20 18:46:58,34.0,62.0,32,36
2026-06-20 18:47:03,34.0,62.0,32,37
2026-06-20 18:47:08,34.0,62.0,32,37
2026-06-20 18:47:13,34.0,62.0,32,37
2026-06-20 18:47:18,34.0,62.0,33,38
2026-06-20 18:47:23,34.0,62.0,32,38
2026-06-20 18:47:28,34.0,62.0,32,37
2026-06-20 18:47:33,34.0,62.0,31,37
2026-06-20 18:47:38,34.0,62.0,31,37
2026-06-20 18:47:43,34.0,62.0,32,37
2026-06-20 18:47:48,34.0,62.0,32,37
2026-06-20 18:47:53,34.0,62.0,32,37
